"filename", "language", "C#", "XML", "JSON with Comments", "Markdown", "JSON", "HTML", "TypeScript", "TypeScript JSX", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\wwwroot\static\media\icons.62d9dae4e0040e81c980.svg", "XML", 0, 1514, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 1519
"c:\Users\craym\Desktop\school\Project\IMGWeb\API\wwwroot\static\media\outline-icons.9c4845b4b41ef40a22fa.svg", "XML", 0, 362, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 367
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\AlbumImage\Add.cs", "C#", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 56
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\AlbumImage\AlbumImageDto.cs", "C#", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\AlbumImage\Remove.cs", "C#", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 49
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Albums\AddView.cs", "C#", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 46
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Albums\AlbumDto.cs", "C#", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 42
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Albums\Create.cs", "C#", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 47
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Albums\CreateAlbumDto.cs", "C#", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Albums\Delete.cs", "C#", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 48
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Albums\Details.cs", "C#", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 50
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Albums\Edit.cs", "C#", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 52
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Albums\EditAlbumDto.cs", "C#", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Albums\List.cs", "C#", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 42
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Albums\Search.cs", "C#", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 52
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Albums\UpdateFavorite.cs", "C#", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 46
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Albums\UpdateRating.cs", "C#", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 53
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Application.csproj", "XML", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Core\AppException.cs", "C#", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Core\MappingProfiles.cs", "C#", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Core\Result.cs", "C#", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\GenericDtos\IntDto.cs", "C#", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\GenericDtos\StringDto.cs", "C#", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Images\Add.cs", "C#", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 12, 91
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Images\AddView.cs", "C#", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 46
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Images\Delete.cs", "C#", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 58
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Images\Details.cs", "C#", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 48
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Images\ImageDataDto.cs", "C#", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 56
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Images\ImageUploadResult.cs", "C#", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Images\List.cs", "C#", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 43
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Images\ListNotTagged.cs", "C#", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 46
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Images\Search.cs", "C#", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 52
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Images\SearchDto.cs", "C#", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Images\UpdateFavorite.cs", "C#", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 45
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Images\UpdateRating.cs", "C#", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 54
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Interfaces\IPhotoAccessor.cs", "C#", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Interfaces\IUserAccessor.cs", "C#", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Profiles\Details.cs", "C#", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 42
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Profiles\Profile.cs", "C#", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\TagImages\Add.cs", "C#", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 59
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\TagImages\Remove.cs", "C#", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 50
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\TagImages\TagImageDto.cs", "C#", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Tags\Create.cs", "C#", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 56
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Tags\Delete.cs", "C#", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 51
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Tags\Details.cs", "C#", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 50
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Tags\Edit.cs", "C#", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 65
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Tags\EditTagValidator.cs", "C#", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Tags\List.cs", "C#", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 50
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Tags\TagDto.cs", "C#", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\Tags\TagValidator.cs", "C#", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\bin\Debug\net7.0\Application.deps.json", "JSON", 0, 0, 0, 0, 1267, 0, 0, 0, 0, 0, 0, 0, 1267
"c:\Users\craym\Desktop\school\Project\IMGWeb\Application\bin\Release\net7.0\Application.deps.json", "JSON", 0, 0, 0, 0, 1267, 0, 0, 0, 0, 0, 0, 0, 1267
"c:\Users\craym\Desktop\school\Project\IMGWeb\Domain\Album.cs", "C#", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\craym\Desktop\school\Project\IMGWeb\Domain\AlbumImages.cs", "C#", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"c:\Users\craym\Desktop\school\Project\IMGWeb\Domain\AppUser.cs", "C#", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\craym\Desktop\school\Project\IMGWeb\Domain\Domain.csproj", "XML", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\Users\craym\Desktop\school\Project\IMGWeb\Domain\ImageData.cs", "C#", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\craym\Desktop\school\Project\IMGWeb\Domain\Tag.cs", "C#", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\craym\Desktop\school\Project\IMGWeb\Domain\TagImageData.cs", "C#", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\craym\Desktop\school\Project\IMGWeb\Domain\bin\Debug\net7.0\Domain.deps.json", "JSON", 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 0, 0, 343
"c:\Users\craym\Desktop\school\Project\IMGWeb\Domain\bin\Release\net7.0\Domain.deps.json", "JSON", 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 0, 0, 343
"c:\Users\craym\Desktop\school\Project\IMGWeb\Infrastructure\Images\CloudinarySettings.cs", "C#", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\craym\Desktop\school\Project\IMGWeb\Infrastructure\Images\ImageAccessor.cs", "C#", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 58
"c:\Users\craym\Desktop\school\Project\IMGWeb\Infrastructure\Infrastructure.csproj", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"c:\Users\craym\Desktop\school\Project\IMGWeb\Infrastructure\Security\IsHostRequirement.cs", "C#", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 42
"c:\Users\craym\Desktop\school\Project\IMGWeb\Infrastructure\Security\UserAccessor.cs", "C#", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\craym\Desktop\school\Project\IMGWeb\Infrastructure\bin\Debug\net7.0\Infrastructure.deps.json", "JSON", 0, 0, 0, 0, 1314, 0, 0, 0, 0, 0, 0, 0, 1314
"c:\Users\craym\Desktop\school\Project\IMGWeb\Infrastructure\bin\Release\net7.0\Infrastructure.deps.json", "JSON", 0, 0, 0, 0, 1314, 0, 0, 0, 0, 0, 0, 0, 1314
"c:\Users\craym\Desktop\school\Project\IMGWeb\Persistence\DataContext.cs", "C#", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 76
"c:\Users\craym\Desktop\school\Project\IMGWeb\Persistence\Migrations\20230308005118_InitialCreate.Designer.cs", "C#", 227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 78, 307
"c:\Users\craym\Desktop\school\Project\IMGWeb\Persistence\Migrations\20230308005118_InitialCreate.cs", "C#", 216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25, 244
"c:\Users\craym\Desktop\school\Project\IMGWeb\Persistence\Migrations\20230308211710_CompleteDb.Designer.cs", "C#", 377, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 139, 518
"c:\Users\craym\Desktop\school\Project\IMGWeb\Persistence\Migrations\20230308211710_CompleteDb.cs", "C#", 202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26, 231
"c:\Users\craym\Desktop\school\Project\IMGWeb\Persistence\Migrations\20230315030106_UpdateAlbum.Designer.cs", "C#", 377, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 139, 518
"c:\Users\craym\Desktop\school\Project\IMGWeb\Persistence\Migrations\20230315030106_UpdateAlbum.cs", "C#", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 55
"c:\Users\craym\Desktop\school\Project\IMGWeb\Persistence\Migrations\20230315181432_AlbumImageCascadeDelete.Designer.cs", "C#", 377, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 139, 518
"c:\Users\craym\Desktop\school\Project\IMGWeb\Persistence\Migrations\20230315181432_AlbumImageCascadeDelete.cs", "C#", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 23
"c:\Users\craym\Desktop\school\Project\IMGWeb\Persistence\Migrations\20230315182511_UpdateSizeTypeToLong.Designer.cs", "C#", 377, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 139, 518
"c:\Users\craym\Desktop\school\Project\IMGWeb\Persistence\Migrations\20230315182511_UpdateSizeTypeToLong.cs", "C#", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 67
"c:\Users\craym\Desktop\school\Project\IMGWeb\Persistence\Migrations\DataContextModelSnapshot.cs", "C#", 375, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 139, 515
"c:\Users\craym\Desktop\school\Project\IMGWeb\Persistence\Persistence.csproj", "XML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"c:\Users\craym\Desktop\school\Project\IMGWeb\Persistence\bin\Debug\net7.0\Persistence.deps.json", "JSON", 0, 0, 0, 0, 1151, 0, 0, 0, 0, 0, 0, 0, 1151
"c:\Users\craym\Desktop\school\Project\IMGWeb\Persistence\bin\Release\net7.0\Persistence.deps.json", "JSON", 0, 0, 0, 0, 1151, 0, 0, 0, 0, 0, 0, 0, 1151
"c:\Users\craym\Desktop\school\Project\IMGWeb\bin\Publish\API.deps.json", "JSON", 0, 0, 0, 0, 1521, 0, 0, 0, 0, 0, 0, 0, 1521
